Iteration,Longitude(deg),Latitude(deg),X(m),Y(m),Z(m),Error,Step Size
0,109.904175,-6.718269,-2156612.872274,5956221.253529,-741200.617437,36.309852,8.819171
1,132.404175,-19.218269,-4062913.918069,4448807.447946,-2086179.072334,4.502025,13.642255
2,132.404175,-19.218269,-4682608.360895,4305249.462049,-466019.265277,4.502025,13.642255
3,132.404175,-19.218269,-5209972.501164,3331381.562226,-1556402.688815,4.502025,8.819171
4,132.404175,-19.218269,-4841643.201216,3899160.807377,-1421984.587813,4.502025,7.120003
5,136.154175,-27.968269,-3499441.025257,3435390.194034,-4064639.358556,3.283114,7.120003
6,136.154175,-27.968269,-4482207.691615,4076111.309610,-1987989.051512,3.283114,4.899157
7,145.997925,-30.937019,-4539502.723275,3062172.474214,-3260013.733398,1.607664,6.918267
8,145.997925,-30.937019,-4161829.704186,3164071.176130,-3641405.603363,1.607664,5.017939
9,160.822144,-43.026863,-4410752.962375,1534075.567692,-4329683.862386,0.680986,9.330143
10,174.718628,-40.868660,-4809641.905911,444599.875654,-4151404.307987,0.389896,12.854779
11,174.718628,-40.868660,-4724558.087294,2016739.225959,-3767793.737980,0.389896,8.126045
12,163.311768,-40.841194,-4628620.027659,1387616.416006,-4149097.301726,0.054304,7.662616
13,163.311768,-40.841194,-4768554.803579,1462474.495857,-3961930.823043,0.054304,5.562695
14,163.311768,-40.841194,-4780025.718421,935666.140086,-4104022.568686,0.054304,2.890187
15,164.533949,-39.611326,-4742162.564508,1312092.640765,-4044833.245279,0.006815,2.462130
16,164.533949,-39.611326,-4737455.232442,1144031.111722,-4100611.853206,0.006815,1.375249
17,164.533949,-39.611326,-4685442.558206,1308612.272056,-4111069.210376,0.006815,0.986364
18,163.485063,-39.867777,-4699897.312071,1393505.893504,-4066728.230098,0.002980,0.566952
19,164.202409,-40.064806,-4703453.678212,1330729.621987,-4083495.206746,0.000843,0.475499
20,164.202409,-40.064806,-4722062.413913,1337202.215367,-4059994.766377,0.000843,0.354543
21,164.906189,-39.985838,-4736246.303129,1214585.420159,-4081800.753639,0.000717,0.354543
22,164.371571,-39.907065,-4718200.831443,1319869.286103,-4070075.471364,0.000191,0.306786
23,164.420645,-40.005629,-4712559.592042,1313940.086801,-4078464.320021,0.000064,0.245015
24,164.420645,-40.005629,-4720183.897511,1295622.937810,-4075526.261003,0.000064,0.128543
25,164.453734,-39.947713,-4717297.992454,1312325.620620,-4073536.488452,0.000033,0.104506
