Iteration,Longitude(deg),Latitude(deg),X(m),Y(m),Z(m),Error,Step Size
0,177.310974,-39.202160,-4141495.188551,-531344.046048,-4805278.658017,2091615.954918,6.666667
1,177.310974,-39.202160,-4752268.303733,-399975.775705,-4220962.276936,2091615.954918,6.009252
2,177.310974,-49.202160,-4170843.496058,195891.356243,-4805278.658017,1889753.739147,6.666667
3,177.310974,-49.202160,-4828297.139523,1087132.043325,-4009733.763216,1889753.739147,6.666667
4,177.310974,-49.202160,-4538665.795562,612766.511782,-4424222.463028,1889753.739147,3.333333
5,177.310974,-49.202160,-4172045.233995,-168367.032292,-4805278.658017,1889753.739147,3.333333
6,-177.689026,-54.202160,-3262234.180205,-274566.704438,-5455500.772030,1769404.701166,3.333333
7,-177.689026,-54.202160,-4068510.857050,-75347.228315,-4894965.862442,1769404.701166,3.004626
8,-177.689026,-54.202160,-3849715.747550,96708.793785,-5067337.709527,1769404.701166,3.004626
9,-177.689026,-54.202160,-3386030.726708,-210715.638930,-5382912.268694,1769404.701166,3.004626
10,-177.689026,-54.202160,-3710401.951849,-48472.991343,-5170207.493069,1769404.701166,2.051845
11,-177.689026,-54.202160,-3723539.507330,-99437.376414,-5160091.840666,1769404.701166,1.025923
12,-177.689026,-54.202160,-3574603.367573,-232238.334007,-5259512.956633,1769404.701166,1.025923
13,-176.829651,-53.030285,-3838104.399538,-212590.958872,-5072571.089151,1761771.096542,1.320700
14,-176.829651,-53.030285,-3707551.138876,-223112.642361,-5167682.173134,1761771.096542,0.660350
15,-176.829651,-53.030285,-3773132.916540,-218024.470581,-5120532.812036,1761771.096542,0.330175
16,-176.829651,-53.030285,-3798486.398930,-233783.504026,-5101186.339376,1761771.096542,0.330175
17,-176.829651,-53.030285,-3850689.447535,-220530.473863,-5062750.797259,1761771.096542,0.165088
18,-176.829651,-53.030285,-3844402.129386,-216554.901168,-5067665.071027,1761771.096542,0.082544
19,-176.829651,-53.030285,-3847956.555506,-207216.363042,-5065372.770134,1761771.096542,0.082544
20,-176.829651,-53.030285,-3831796.284473,-208638.669520,-5077468.843366,1761771.096542,0.082544
21,-176.829651,-53.030285,-3830016.734460,-213288.904977,-5078610.462714,1761771.096542,0.041272
22,-176.750305,-53.092541,-3832277.571134,-217592.013044,-5076734.707383,1717856.979860,0.050868
23,-176.750305,-53.092541,-3840363.038190,-216901.941919,-5070691.425168,1717856.979860,0.050868
24,-176.750305,-53.092541,-3836321.517840,-217247.646190,-5073714.637933,1717856.979860,0.025434
25,-176.750305,-53.092541,-3834299.847607,-217419.996853,-5075225.065693,1717856.979860,0.012717
26,-176.750305,-53.092541,-3833288.785128,-217506.046765,-5075979.984812,1717856.979860,0.006358
27,-176.750305,-53.092541,-3832965.438311,-217392.973566,-5076227.331091,1717856.979860,0.005475
28,-176.750305,-53.092541,-3832236.408576,-218017.147018,-5076747.454386,1717856.979860,0.005475
29,-176.740387,-53.100323,-3830839.770213,-218627.292954,-5077768.307194,1716619.331989,0.005475
30,-176.740387,-53.100323,-3831892.433881,-218116.594860,-5077001.108098,1716619.331989,0.002737
31,-176.740387,-53.100323,-3831720.439229,-218166.310509,-5077127.926624,1716619.331989,0.001369
32,-176.740387,-53.100323,-3831634.440078,-218191.166266,-5077191.333804,1716619.331989,0.000684
33,-176.740387,-53.100323,-3831590.152259,-218216.876686,-5077223.435151,1716619.331989,0.000443
34,-176.740387,-53.100323,-3831595.303129,-218163.744416,-5077221.842041,1716619.331989,0.000443
35,-176.741183,-53.100299,-3831535.309369,-218135.895472,-5077268.002064,1716609.555549,0.000443
36,-176.741183,-53.100299,-3831551.015237,-218189.454813,-5077253.943049,1716609.555549,0.000222
37,-176.741183,-53.100299,-3831552.302931,-218176.171888,-5077253.544776,1716609.555549,0.000111
38,-176.741183,-53.100299,-3831552.946762,-218169.530423,-5077253.345639,1716609.555549,0.000055
39,-176.741183,-53.100299,-3831551.804196,-218167.843321,-5077254.274114,1716609.555549,0.000051
40,-176.741183,-53.100299,-3831557.662095,-218161.308789,-5077250.161939,1716609.555549,0.000051
41,-176.741286,-53.100237,-3831563.270591,-218150.609944,-5077246.414429,1716609.215067,0.000051
42,-176.741286,-53.100237,-3831556.519527,-218159.621688,-5077251.090415,1716609.215067,0.000025
43,-176.741286,-53.100237,-3831557.983999,-218157.988052,-5077250.062371,1716609.215067,0.000013
44,-176.741286,-53.100237,-3831558.716235,-218157.171233,-5077249.548349,1716609.215067,0.000006
45,-176.741286,-53.100237,-3831558.955118,-218156.812204,-5077249.384605,1716609.215067,0.000004
46,-176.741286,-53.100237,-3831559.464056,-218156.614682,-5077249.011534,1716609.215067,0.000004
47,-176.741286,-53.100237,-3831559.957409,-218156.156892,-5077248.661256,1716609.215067,0.000004
48,-176.741286,-53.100237,-3831559.702939,-218156.255653,-5077248.847791,1716609.215067,0.000002
49,-176.741286,-53.100237,-3831559.575705,-218156.305034,-5077248.941059,1716609.215067,0.000001
50,-176.741286,-53.100237,-3831559.571808,-218156.239967,-5077248.946757,1716609.215067,0.000001
