Iteration,Longitude(deg),Latitude(deg),X(m),Y(m),Z(m),Error,Step Size
0,124.671997,1.062981,-3584619.466544,5182257.728011,-984281.675471,0.086682,6.666667
1,124.671997,1.062981,-4046250.398069,4878581.732300,-710302.269810,0.086682,4.859127
2,127.171997,-5.187019,-3838056.131142,5061587.176444,-572783.449660,0.082576,4.289846
3,127.171997,-5.187019,-3840234.276073,5064459.690570,531578.704194,0.082576,4.289846
4,125.921997,0.437981,-3741837.903912,5164970.428151,48428.931223,0.080041,4.135299
5,125.921997,0.437981,-3825095.500534,5102056.544703,134805.576360,0.080041,2.902682
6,126.234497,-5.968269,-3690298.140297,5093828.555686,-1052509.391355,0.079878,2.902682
7,126.234497,-5.968269,-3795951.364602,5106573.590870,-439306.648781,0.079878,2.692323
8,126.234497,-5.968269,-3774080.236340,5128085.822797,-372492.476354,0.079878,2.637113
9,126.234497,-5.968269,-3762943.573278,5138593.601575,-339069.646189,0.079878,2.623128
10,126.234497,-5.968269,-3753214.525024,5151971.054909,-225529.982614,0.079878,1.664867
11,126.376099,-6.996101,-3744876.513200,5055839.644505,-1042922.106842,0.079814,1.664867
12,126.376099,-6.996101,-3759357.640879,5125216.054033,-527396.950835,0.079814,0.909674
13,126.401733,-5.802864,-3773790.992640,5102713.679361,-631473.520756,0.079797,0.909674
14,126.453308,-7.211708,-3759900.172400,5089883.048951,-795367.439372,0.079783,0.620432
15,126.453308,-7.211708,-3758993.494540,5098237.602730,-744871.496307,0.079783,0.587087
16,126.414646,-6.392282,-3762836.047467,5101056.152264,-705385.877271,0.079779,0.336082
17,126.498312,-6.902598,-3766395.047123,5090304.407637,-761441.699163,0.079742,0.339599
18,126.498312,-6.902598,-3762323.110911,5092868.158499,-764403.263243,0.079742,0.249519
19,126.600516,-7.963694,-3766417.588685,5071390.152528,-877803.516788,0.079718,0.497727
20,126.738455,-8.440290,-3774117.919809,5056281.711603,-929974.248631,0.079657,0.650188
21,126.738455,-8.440290,-3772158.963100,5034896.068066,-1045895.602941,0.079657,0.650188
22,127.167639,-10.985126,-3783199.691172,4990031.446550,-1207391.013035,0.079623,1.059620
23,127.177823,-10.135352,-3794496.192038,5003084.154513,-1114989.074205,0.079518,1.077491
24,127.177823,-10.135352,-3797890.971951,4930414.622168,-1390909.408883,0.079518,1.077491
25,127.841966,-12.253058,-3824335.391424,4922853.933556,-1344772.013511,0.079345,1.146192
26,127.841966,-12.253058,-3804391.982462,4947521.452381,-1310606.103179,0.079345,0.971679
27,128.744979,-16.014678,-3838044.737541,4782963.211178,-1748378.408378,0.079295,1.920043
28,129.763517,-18.527212,-3869699.849836,4650576.290340,-2013923.537118,0.079292,2.695115
29,128.548107,-14.762002,-3844315.122378,4824646.047873,-1614649.450997,0.079193,1.653691
30,129.977477,-17.904465,-3900912.451470,4652639.502910,-1948461.003805,0.078610,1.764017
31,129.977477,-17.904465,-3873203.674128,4696374.541826,-1898439.778468,0.078610,1.505892
32,129.977477,-17.904465,-3914938.021877,4512755.808260,-2227314.375060,0.078610,1.505892
33,132.353694,-22.855280,-3961970.525949,4345959.893901,-2462175.054108,0.078515,2.246215
34,131.388647,-20.187059,-3982049.049757,4483244.272134,-2167205.160165,0.078388,2.246215
35,131.388647,-20.187059,-3934923.942556,4538705.558149,-2137908.726693,0.078388,1.505892
36,131.755090,-21.402609,-3956661.522612,4432272.072869,-2313132.195056,0.078043,0.788664
37,132.866957,-22.958867,-3997713.540291,4307030.637609,-2472748.359712,0.077745,1.296935
38,132.866957,-22.958867,-3969833.579219,4432252.615774,-2290556.598258,0.077745,0.936901
39,132.866957,-22.958867,-3984145.480071,4306673.646197,-2495037.821898,0.077745,0.936901
40,132.866957,-22.958867,-4018345.226446,4178001.518575,-2652499.674384,0.077745,0.936901
41,134.582131,-25.183900,-4054145.806137,4113716.687961,-2697678.287870,0.077284,1.191054
42,134.582131,-25.183900,-4032241.478899,4227650.100250,-2552258.952622,0.077284,1.158113
43,136.606446,-27.468352,-4115129.591393,3890607.696230,-2924359.151573,0.076816,1.970632
44,136.606446,-27.468352,-4061786.450816,4116091.743443,-2682540.920563,0.076816,1.461307
45,136.606446,-27.468352,-4106978.916338,3887982.222172,-2939171.536925,0.076816,1.461307
46,136.606446,-27.468352,-4084687.211041,4002125.317732,-2815233.696113,0.076816,0.732715
47,136.606446,-27.468352,-4122574.521406,3832387.866135,-2989578.459035,0.076816,0.370450
48,136.606446,-27.468352,-4098425.941378,3945885.597352,-2873650.876976,0.076816,0.370450
49,136.606446,-27.468352,-4106444.627145,3948443.672650,-2858751.199730,0.076816,0.370450
50,136.922601,-27.499504,-4135371.351808,3866753.487877,-2927421.513948,0.076620,0.459453
51,138.046084,-28.845754,-4158009.460140,3737837.189643,-3058937.710947,0.076546,0.891024
52,139.240135,-29.581182,-4204863.402489,3624403.774289,-3130083.535326,0.076012,1.279998
53,139.240135,-29.581182,-4217234.941029,3493313.075036,-3259010.915234,0.076012,1.279998
54,139.240135,-29.581182,-4256118.500048,3378480.766722,-3328827.326867,0.076012,1.279998
55,140.434186,-30.316610,-4263418.991857,3518308.529027,-3171473.793032,0.075778,1.279998
56,140.697415,-30.805878,-4242886.152987,3473081.753553,-3247459.660432,0.075688,0.809584
57,143.217132,-32.521368,-4311498.821136,3223403.031762,-3409352.606654,0.075307,1.570785
58,143.217132,-32.521368,-4264780.793081,3429495.149273,-3265005.149103,0.075307,1.333539
59,145.224462,-33.655471,-4365390.487666,3031262.165676,-3514759.078277,0.074982,1.974312
60,145.224462,-33.655471,-4305429.443056,3278877.118272,-3364165.196417,0.074982,1.280204
61,145.224462,-33.655471,-4323356.610587,3203259.414746,-3413335.854308,0.074982,1.036425
62,146.599225,-34.286236,-4404257.067594,2904157.927074,-3572813.074846,0.074665,1.467038
63,146.599225,-34.286236,-4356189.785597,3085702.902939,-3478840.209989,0.074665,0.907761
64,146.599225,-34.286236,-4410817.068428,2849610.368904,-3608341.864305,0.074665,0.907761
65,146.599225,-34.286236,-4387297.452777,2954157.133757,-3552778.493735,0.074665,0.510672
66,146.599225,-34.286236,-4426580.871709,2799578.107489,-3628344.948093,0.074665,0.510672
67,147.161056,-34.419703,-4425592.300778,2856358.835626,-3585109.211525,0.074348,0.515401
68,147.161056,-34.419703,-4401767.677993,2961047.895908,-3529397.911909,0.074348,0.515401
69,146.650337,-33.776925,-4433314.230463,2917647.050061,-3526039.185838,0.074295,0.533897
70,148.574154,-34.668484,-4481461.075706,2738271.136061,-3607947.013169,0.073770,0.896207
71,148.574154,-34.668484,-4442001.245326,2842236.725891,-3576090.660446,0.073770,0.873379
72,149.310467,-35.212763,-4506419.304209,2535038.354646,-3721966.510279,0.073736,0.873379
73,152.053629,-36.179464,-4553212.095882,2415521.808207,-3744283.661919,0.073404,1.622332
74,152.053629,-36.179464,-4503096.590009,2638983.159700,-3654836.694758,0.073404,1.309741
75,153.901661,-36.617119,-4602861.346598,2254753.065379,-3783374.025700,0.072974,1.850114
76,153.901661,-36.617119,-4543426.964251,2487157.506842,-3709342.303815,0.072974,1.143056
77,153.901661,-36.617119,-4561786.358826,2411239.130540,-3736651.177364,0.072974,0.881754
78,154.955621,-36.708189,-4638089.536623,2167151.865908,-3791480.892636,0.072513,1.192483
79,154.955621,-36.708189,-4670458.693139,2009772.499260,-3837837.368798,0.072513,1.192483
80,159.705645,-37.674568,-4740813.514448,1753149.219496,-3876917.421944,0.072407,2.000030
81,158.557853,-37.112108,-4740029.774775,1861620.825468,-3827322.095241,0.071622,2.062082
82,158.557853,-37.112108,-4692962.661869,1987822.989452,-3821890.891922,0.071622,1.125730
83,158.557853,-37.112108,-4702454.852611,2010781.059451,-3798299.387110,0.071622,0.777094
84,158.557853,-37.112108,-4750154.076651,1884316.415400,-3803749.336657,0.071622,0.777094
85,161.683866,-37.367743,-4818195.917802,1594971.293701,-3849908.417455,0.070964,1.536578
86,161.683866,-37.367743,-4806531.768034,1572946.481148,-3873320.701661,0.070964,1.536578
87,161.683866,-37.367743,-4778252.101692,1723131.807046,-3844495.348338,0.070964,0.777094
88,161.683866,-37.367743,-4842430.441476,1444199.781166,-3878710.398517,0.070964,0.777094
89,163.857440,-37.326811,-4877868.838280,1411850.514491,-3846297.075008,0.070503,0.949067
90,163.857440,-37.326811,-4845776.339409,1473920.591526,-3863424.297421,0.070503,0.903297
91,165.255595,-37.480198,-4934977.129732,1135568.559220,-3864770.652469,0.070403,0.903297
92,167.505513,-37.168256,-4968216.250224,1100925.544364,-3832289.471780,0.069755,1.508177
93,167.505513,-37.168256,-4983489.445055,977390.525723,-3845840.848308,0.069755,1.508177
94,167.505513,-37.168256,-5038684.018924,784209.679999,-3818252.824891,0.069755,1.508177
95,170.181312,-36.623649,-5049948.716169,873974.002475,-3783955.697675,0.069206,1.559359
96,170.181312,-36.623649,-5025590.602051,886283.021760,-3813210.842042,0.069206,1.240952
97,175.258690,-36.028202,-5146487.320338,426854.168210,-3730722.863009,0.068952,2.467582
98,178.163006,-35.072125,-5223147.484314,167519.855421,-3644418.539237,0.068429,3.359863
99,178.163006,-35.072125,-5126601.451440,588990.177709,-3735988.816349,0.068429,1.997702
100,176.896248,-34.682142,-5242870.367553,284288.026429,-3608925.697383,0.068055,2.079342
101,176.896248,-34.682142,-5311695.472908,-149591.385064,-3515798.540116,0.068055,2.079342
102,-178.561878,-32.380005,-5389911.411969,-135315.003174,-3396092.870458,0.067967,2.378037
103,-179.609820,-33.599217,-5317864.479006,-36214.790461,-3509505.603034,0.066894,2.157504
104,-175.067947,-31.297080,-5482469.164949,-863429.809340,-3132335.814029,0.066053,2.157504
105,-175.067947,-31.297080,-5386137.228123,-192758.391166,-3399283.133311,0.066053,2.098753
106,-175.067947,-31.297080,-5376748.233175,-307442.908908,-3405660.096539,0.066053,2.098753
107,-175.067947,-31.297080,-5365732.151531,-210469.088065,-3430153.962758,0.066053,1.273176
108,-175.067947,-31.297080,-5427160.221496,-370528.741926,-3318890.804469,0.066053,1.273176
109,-173.408507,-30.111940,-5528468.091854,-852306.538388,-3054076.593627,0.065690,1.273176
110,-173.408507,-30.111940,-5445010.073287,-460458.969032,-3278420.055895,0.065690,0.961786
111,-173.408507,-30.111940,-5453261.665705,-505668.187996,-3258117.020805,0.065690,0.866629
112,-172.030236,-28.951058,-5531518.101221,-774427.635639,-3069155.710172,0.065324,1.357302
113,-172.030236,-28.951058,-5554768.883320,-905995.423063,-2990663.474845,0.065324,1.357302
114,-172.030236,-28.951058,-5516079.228008,-736400.259217,-3105834.127561,0.065324,0.866629
115,-172.030236,-28.951058,-5568278.268070,-944723.348175,-2953576.433594,0.065324,0.866629
116,-172.128555,-28.785880,-5541594.360564,-766144.978294,-3053123.443964,0.065255,0.961786
117,-171.225096,-28.317193,-5553360.934501,-857215.149246,-3007496.818233,0.065156,0.485671
118,-170.970004,-27.752493,-5578537.921366,-886547.646063,-2952260.007577,0.064943,0.652345
119,-170.970004,-27.752493,-5587501.763995,-978537.412866,-2906199.989878,0.064943,0.652345
120,-169.104632,-25.920064,-5636726.271514,-1084989.843662,-2771099.605119,0.064462,1.088240
121,-169.104632,-25.920064,-5598404.445144,-981918.567044,-2884141.848999,0.064462,1.072727
122,-168.186559,-25.227613,-5677320.052975,-1332143.175581,-2574759.105567,0.064424,1.072727
123,-167.239259,-24.087634,-5712038.794724,-1441876.130941,-2436030.337367,0.064270,1.072727
124,-167.239259,-24.087634,-5652736.869177,-1159438.528410,-2708039.113623,0.064270,0.749868
125,-167.239259,-24.087634,-5660118.608621,-1196814.997086,-2676387.015152,0.064270,0.644354
126,-166.577030,-23.136076,-5707901.581731,-1362232.342315,-2490584.070168,0.063982,0.964949
127,-166.577030,-23.136076,-5724453.974886,-1453246.502149,-2400106.236431,0.063982,0.964949
128,-166.577030,-23.136076,-5745044.848779,-1529366.124420,-2302261.594237,0.063982,0.964949
