Iteration,Longitude(deg),Latitude(deg),X(m),Y(m),Z(m),Error,Step Size
0,31.961166,-41.862106,3373022.920864,2776668.010573,-4631296.565798,0.217937,4.859127
1,31.961166,-41.862106,3708619.213341,2666009.375275,-4436946.256480,0.217937,2.429563
2,31.961166,-41.862106,3873616.678371,2596702.740613,-4336601.957245,0.217937,1.214782
3,31.961166,-41.862106,3955193.008861,2558598.519597,-4285658.643470,0.217937,0.607391
4,31.961166,-41.862106,3995723.093730,2538690.527274,-4259996.883054,0.217937,0.303695
5,31.961166,-41.862106,4015920.203503,2528523.503807,-4247118.815789,0.217937,0.151848
6,31.961166,-41.862106,4026001.350169,2523386.858586,-4240668.027925,0.217937,0.075924
7,31.961166,-41.862106,4031037.518413,2520805.268361,-4237439.700762,0.217937,0.037962
8,31.961166,-41.862106,4033554.494641,2519511.158336,-4235824.804539,0.217937,0.018981
9,31.961166,-41.862106,4034812.704953,2518863.274845,-4235017.173351,0.217937,0.009490
10,31.961166,-41.862106,4035441.740556,2518539.126011,-4234613.311998,0.217937,0.004745
11,31.961166,-41.862106,4035756.240956,2518376.999826,-4234411.369883,0.217937,0.002373
12,31.961166,-41.862106,4035913.486804,2518295.923792,-4234310.395967,0.217937,0.001186
13,31.961166,-41.862106,4035992.108639,2518255.382540,-4234259.908293,0.217937,0.000593
14,31.961166,-41.862106,4036031.419285,2518235.111105,-4234234.664278,0.217937,0.000297
15,31.961166,-41.862106,4036051.074540,2518224.975185,-4234222.042226,0.217937,0.000148
16,31.961166,-41.862106,4036060.902151,2518219.907175,-4234215.731188,0.217937,0.000074
17,31.961166,-41.862106,4036065.815951,2518217.373157,-4234212.575667,0.217937,0.000037
18,31.961166,-41.862106,4036068.272851,2518216.106145,-4234210.997905,0.217937,0.000019
19,31.961166,-41.862106,4036069.501300,2518215.472638,-4234210.209024,0.217937,0.000009
20,31.961166,-41.862106,4036070.115525,2518215.155885,-4234209.814584,0.217937,0.000005
21,31.961166,-41.862106,4036070.422637,2518214.997508,-4234209.617364,0.217937,0.000002
22,31.961166,-41.862106,4036070.834537,2518214.671182,-4234209.420143,0.217937,0.000001
23,31.961166,-41.862106,4036070.640779,2518214.856535,-4234209.494101,0.217937,0.000001
24,31.961166,-41.862106,4036070.685265,2518214.847833,-4234209.457122,0.217937,0.000000
25,31.961166,-41.862106,4036070.707507,2518214.843482,-4234209.438633,0.217937,0.000000
26,31.961166,-41.862106,4036070.716116,2518214.847942,-4234209.427847,0.217937,0.000000
27,31.961166,-41.862106,4036070.722933,2518214.843536,-4234209.423995,0.217937,0.000000
28,31.961166,-41.862106,4036070.726341,2518214.841334,-4234209.422069,0.217937,0.000000
29,31.961166,-41.862106,4036070.732262,2518214.832496,-4234209.421684,0.217937,0.000000
30,31.961166,-41.862106,4036070.731006,2518214.835813,-4234209.420914,0.217937,0.000000
31,31.961166,-41.862106,4036070.728045,2518214.840232,-4234209.421106,0.217937,0.000000
32,31.961166,-41.862106,4036070.728695,2518214.841065,-4234209.419999,0.217937,0.000000
33,31.961166,-41.862106,4036070.729100,2518214.838298,-4234209.421251,0.217937,0.000000
34,31.961166,-41.862106,4036070.730277,2518214.838164,-4234209.420216,0.217937,0.000000
35,31.961166,-41.862106,4036070.730602,2518214.838580,-4234209.419662,0.217937,0.000000
36,31.961166,-41.862106,4036070.730125,2518214.839201,-4234209.419746,0.217937,0.000000
37,31.961166,-41.862106,4036070.729937,2518214.839166,-4234209.419945,0.217937,0.000000
38,31.961166,-41.862106,4036070.729511,2518214.839441,-4234209.420186,0.217937,0.000000
39,31.961166,-41.862106,4036070.729784,2518214.839226,-4234209.420055,0.217937,0.000000
40,31.961166,-41.862106,4036070.729639,2518214.839310,-4234209.420142,0.217937,0.000000
41,31.961166,-41.862106,4036070.729767,2518214.839179,-4234209.420099,0.217937,0.000000
42,31.961166,-41.862106,4036070.729790,2518214.839122,-4234209.420110,0.217937,0.000000
43,31.961166,-41.862106,4036070.729774,2518214.839138,-4234209.420116,0.217937,0.000000
44,31.961166,-41.862106,4036070.729750,2518214.839163,-4234209.420124,0.217937,0.000000
45,31.961166,-41.862106,4036070.729758,2518214.839163,-4234209.420116,0.217937,0.000000
46,31.961166,-41.862106,4036070.729754,2518214.839147,-4234209.420130,0.217937,0.000000
47,31.961166,-41.862106,4036070.729752,2518214.839143,-4234209.420134,0.217937,0.000000
48,31.961166,-41.862106,4036070.729751,2518214.839137,-4234209.420139,0.217937,0.000000
49,31.961166,-41.862106,4036070.729749,2518214.839132,-4234209.420143,0.217937,0.000000
50,31.961166,-41.862106,4036070.729750,2518214.839133,-4234209.420142,0.217937,0.000000
51,31.961166,-41.862106,4036070.729750,2518214.839132,-4234209.420143,0.217937,0.000000
52,31.961166,-41.862106,4036070.729750,2518214.839131,-4234209.420143,0.217937,0.000000
53,31.961166,-41.862106,4036070.729750,2518214.839130,-4234209.420144,0.217937,0.000000
54,31.961166,-41.862106,4036070.729750,2518214.839130,-4234209.420144,0.217937,0.000000
55,31.961166,-41.862106,4036070.729750,2518214.839130,-4234209.420144,0.217937,0.000000
56,31.961166,-41.862106,4036070.729750,2518214.839131,-4234209.420144,0.217937,0.000000
57,31.961166,-41.862106,4036070.729750,2518214.839131,-4234209.420143,0.217937,0.000000
58,31.961166,-41.862106,4036070.729750,2518214.839131,-4234209.420143,0.217937,0.000000
59,31.961166,-41.862106,4036070.729750,2518214.839131,-4234209.420143,0.217937,0.000000
60,31.961166,-41.862106,4036070.729750,2518214.839131,-4234209.420143,0.217937,0.000000
