Iteration,Longitude(deg),Latitude(deg),X(m),Y(m),Z(m),Error,Step Size
0,134.453857,-0.275375,-3596202.892775,5241545.767572,521841.947413,2674.322929,6.666667
1,134.453857,-10.275375,-3910747.367242,4751907.799756,-1669513.120209,2249.449682,6.666667
2,134.453857,-10.275375,-4802370.544504,4108305.264785,-857172.552817,2249.449682,4.859127
3,134.453857,-10.275375,-4631172.846780,4325616.717884,-720010.973786,2249.449682,4.289846
4,138.203857,-24.650375,-4324276.896896,3865825.937953,-2643956.933667,813.713676,7.965856
5,138.203857,-24.650375,-4018701.506231,3921158.362783,-3015609.157143,813.713676,7.965856
6,138.203857,-24.650375,-4333284.097112,4228105.309478,-2000550.491620,813.713676,4.289846
7,138.203857,-24.650375,-4185029.377933,3995270.177415,-2675416.863884,813.713676,3.203866
8,138.203857,-24.650375,-4109844.047543,3594241.766708,-3286101.551859,813.713676,3.203866
9,142.891357,-33.869125,-4227847.926543,3198498.894561,-3534443.593681,508.998063,4.396648
10,142.266357,-27.306625,-4665007.195857,3391179.082400,-2714513.463044,339.852016,4.396648
11,142.266357,-27.306625,-4301946.638969,2798645.017424,-3775681.016109,339.852016,4.396648
12,146.328857,-29.962875,-4781410.874739,2982235.808751,-2977459.286403,106.291132,4.396648
13,145.625732,-32.580063,-4440389.879921,3037470.087396,-3414936.190305,67.883518,2.788830
14,145.625732,-32.580063,-4502857.349129,2632498.137547,-3659714.419211,67.883518,2.788830
15,146.992920,-31.935532,-4543559.595428,2951420.396944,-3354470.047318,15.015145,2.211185
16,146.992920,-31.935532,-4502347.254993,2813512.191456,-3523315.846987,15.015145,1.227971
17,149.365967,-33.102524,-4674598.013465,2566049.580619,-3487849.216235,12.382145,1.227971
18,148.089111,-33.133041,-4538625.569527,2826242.463686,-3466477.507970,2.406482,1.118540
19,148.089111,-33.133041,-4558135.616730,2863723.940579,-3409939.669946,2.406482,0.718814
20,148.089111,-33.133041,-4575865.983617,2785417.929052,-3451105.727321,2.406482,0.426245
21,148.119972,-32.788136,-4557806.975087,2834781.146231,-3434371.781648,1.171365,0.301872
22,148.387430,-32.963387,-4562206.585349,2808068.089975,-3450849.066991,1.060750,0.194347
23,148.171406,-33.004401,-4549349.498361,2823860.349448,-3454563.023526,1.020513,0.149076
24,148.199695,-32.886015,-4556770.589047,2825351.023898,-3443512.779739,0.886675,0.107701
25,148.286490,-32.954298,-4557600.537189,2816316.203589,-3449912.859068,0.854416,0.068933
26,148.207250,-32.962279,-4553276.172677,2822353.300369,-3450643.617939,0.851725,0.052081
27,148.223283,-32.922152,-4556101.037031,2822339.820431,-3446891.824769,0.841552,0.038353
28,148.250878,-32.948257,-4556133.401210,2819324.313899,-3449331.027693,0.832784,0.024518
29,148.222165,-32.948742,-4554722.189318,2821608.613368,-3449396.830406,0.832516,0.018184
30,148.243141,-32.961673,-4555076.519975,2819521.031469,-3450588.839843,0.832011,0.013629
31,148.241766,-32.951732,-4555514.537255,2819943.422881,-3449660.452509,0.830287,0.011061
32,148.241766,-32.951732,-4554990.425360,2820658.951132,-3449746.610899,0.830287,0.006571
