Iteration,Longitude(deg),Latitude(deg),X(m),Y(m),Z(m),Error,Step Size
0,-149.403778,-73.282501,-1584127.902353,-936709.644059,-6086385.373879,79596.931731,11.303883
1,-159.403778,-50.782501,-3782528.232820,-1421474.241316,-4918281.986530,26660.359318,17.280368
2,155.596222,-29.532501,-5057771.212221,2294708.922234,-3125389.751990,499.865983,29.854974
3,155.596222,-29.532501,-5223121.242043,3576851.661289,-775701.638391,499.865983,29.854974
4,155.596222,-29.532501,-3710198.040108,5183071.817147,-224696.163887,499.865983,17.280368
5,135.596222,-24.532501,-3473139.804768,4052722.548050,-3480193.151835,497.866498,17.280368
6,135.596222,-24.532501,-4411850.419859,4320973.067127,-1590081.553612,497.866498,11.303883
7,150.596222,-33.282501,-4650159.278622,2620634.093461,-3480466.438063,16.074695,9.223310
8,150.596222,-33.282501,-4792508.876676,2840356.772118,-3095205.531545,16.074695,7.678716
9,150.596222,-33.282501,-4492523.053892,3412022.747264,-2965920.388628,16.074695,4.122981
10,150.596222,-33.282501,-4384162.063916,3181339.470708,-3356183.441441,16.074695,4.122981
11,150.596222,-33.282501,-4519662.438105,3158904.050006,-3194899.993201,16.074695,3.139034
12,148.447784,-33.800079,-4521618.902280,2776522.926075,-3528321.171186,10.940790,2.840277
13,146.777863,-32.747833,-4492147.297516,2942058.312602,-3430585.202099,7.228023,1.620880
14,149.104523,-33.278229,-4580844.827676,2741087.983152,-3480268.347860,2.836339,1.069484
15,149.104523,-33.278229,-4551784.999253,2907116.380179,-3381779.564351,2.836339,1.069484
16,147.523712,-32.749969,-4529992.722567,2883288.690796,-3430812.590655,2.204857,0.879165
17,147.874359,-32.620041,-4554126.198658,2859638.809252,-3418671.844225,2.129554,0.735177
18,148.401779,-32.981617,-4561929.568492,2806322.525907,-3452512.637397,0.952561,0.390641
19,148.401779,-32.981617,-4544112.949793,2858160.322102,-3433198.834255,0.952561,0.298771
20,148.401779,-32.981617,-4551734.651370,2804813.279183,-3466906.830001,0.952561,0.298771
21,148.105468,-32.917348,-4550508.141047,2831839.385166,-3446425.004510,0.924755,0.159904
22,148.105468,-32.917348,-4553994.769059,2811949.347916,-3458191.136402,0.924755,0.133730
23,148.303748,-32.980953,-4557096.273855,2814108.193588,-3452405.643440,0.883426,0.107129
24,148.303748,-32.980953,-4553909.174767,2817463.344995,-3453805.703387,0.883426,0.091045
25,148.192493,-32.952959,-4553013.437207,2823813.891185,-3449765.988105,0.881222,0.048938
26,148.251704,-32.981573,-4554478.560402,2818209.524263,-3452442.107548,0.877218,0.047370
27,148.262923,-32.974109,-4555412.084723,2817553.765441,-3451746.619236,0.875291,0.033190
28,148.262923,-32.974109,-4553991.146571,2820854.576625,-3450938.419496,0.875291,0.017265
29,148.236123,-32.957937,-4555138.953948,2821188.406305,-3449136.411640,0.875045,0.017265
30,148.237213,-32.965712,-4554566.847744,2819857.371525,-3450956.516635,0.874487,0.014036
31,148.249796,-32.967967,-4555080.961599,2818792.097175,-3451174.524179,0.874391,0.007547
32,148.249796,-32.967967,-4554866.073540,2819756.677099,-3450647.781105,0.874391,0.005888
33,148.241009,-32.965444,-4554768.067034,2819564.562879,-3450932.204168,0.874346,0.005001
34,148.241009,-32.965444,-4554900.665074,2819470.817816,-3450854.656196,0.874346,0.004086
35,148.245802,-32.966481,-4554954.291130,2819152.799535,-3451031.393600,0.874323,0.002144
36,148.245802,-32.966481,-4554827.404982,2819250.080183,-3451113.292670,0.874323,0.002144
37,148.245802,-32.966481,-4554828.926646,2819382.671205,-3451001.865868,0.874323,0.001253
38,148.244504,-32.965812,-4554927.636242,2819278.992088,-3450971.290602,0.874322,0.001175
39,148.244079,-32.966167,-4554884.946176,2819299.284070,-3451001.604020,0.874318,0.000782
40,148.244079,-32.966167,-4554930.470075,2819221.079327,-3451009.056537,0.874318,0.000437
41,148.244079,-32.966167,-4554890.633704,2819243.137640,-3451041.546352,0.874318,0.000437
42,148.244079,-32.966167,-4554910.378580,2819246.917892,-3451016.268131,0.874318,0.000327
43,148.244506,-32.966414,-4554893.969774,2819258.008936,-3451025.105194,0.874318,0.000278
44,148.244496,-32.966299,-4554900.810078,2819263.334165,-3451015.491554,0.874317,0.000223
45,148.244290,-32.966262,-4554891.168099,2819279.977819,-3451010.951201,0.874317,0.000119
46,148.244290,-32.966262,-4554895.928644,2819277.817189,-3451006.463245,0.874317,0.000095
47,148.244404,-32.966268,-4554896.465838,2819270.674280,-3451011.555244,0.874317,0.000053
48,148.244404,-32.966268,-4554892.761133,2819274.080481,-3451013.648210,0.874317,0.000048
49,148.244404,-32.966268,-4554892.890794,2819276.177600,-3451011.776464,0.874317,0.000031
50,148.244404,-32.966268,-4554895.636908,2819273.098670,-3451010.674675,0.874317,0.000029
51,148.244404,-32.966268,-4554894.471084,2819274.032038,-3451011.445712,0.874317,0.000018
52,148.244404,-32.966268,-4554895.261229,2819272.959257,-3451011.280336,0.874317,0.000013
53,148.244404,-32.966268,-4554895.863533,2819271.816768,-3451011.417790,0.874317,0.000007
54,148.244404,-32.966268,-4554896.108029,2819271.565999,-3451011.300738,0.874317,0.000006
55,148.244404,-32.966268,-4554896.164685,2819271.245524,-3451011.486517,0.874317,0.000003
56,148.244404,-32.966268,-4554896.315262,2819270.959902,-3451011.520880,0.874317,0.000001
57,148.244404,-32.966268,-4554896.390550,2819270.817091,-3451011.538062,0.874317,0.000001
58,148.244404,-32.966268,-4554896.431735,2819270.725655,-3451011.558264,0.874317,0.000001
59,148.244404,-32.966268,-4554896.428194,2819270.745685,-3451011.546653,0.874317,0.000000
60,148.244404,-32.966268,-4554896.476134,2819270.651421,-3451011.560294,0.874317,0.000000
61,148.244404,-32.966268,-4554896.470986,2819270.662850,-3451011.557769,0.874317,0.000000
62,148.244404,-32.966268,-4554896.468412,2819270.668565,-3451011.556506,0.874317,0.000000
63,148.244404,-32.966268,-4554896.461132,2819270.683205,-3451011.554170,0.874317,0.000000
64,148.244404,-32.966268,-4554896.463485,2819270.678742,-3451011.554707,0.874317,0.000000
65,148.244404,-32.966268,-4554896.464661,2819270.676511,-3451011.554975,0.874317,0.000000
66,148.244404,-32.966268,-4554896.465305,2819270.675082,-3451011.555291,0.874317,0.000000
67,148.244404,-32.966268,-4554896.466481,2819270.672851,-3451011.555559,0.874317,0.000000
68,148.244404,-32.966268,-4554896.465732,2819270.674324,-3451011.555346,0.874317,0.000000
69,148.244404,-32.966268,-4554896.466159,2819270.673565,-3451011.555401,0.874317,0.000000
70,148.244404,-32.966268,-4554896.466212,2819270.673543,-3451011.555350,0.874317,0.000000
71,148.244404,-32.966268,-4554896.466092,2819270.673738,-3451011.555349,0.874317,0.000000
72,148.244404,-32.966268,-4554896.465965,2819270.674009,-3451011.555296,0.874317,0.000000
73,148.244404,-32.966268,-4554896.465898,2819270.674182,-3451011.555244,0.874317,0.000000
74,148.244404,-32.966268,-4554896.465946,2819270.674071,-3451011.555270,0.874317,0.000000
75,148.244404,-32.966268,-4554896.465868,2819270.674231,-3451011.555244,0.874317,0.000000
76,148.244404,-32.966268,-4554896.465853,2819270.674255,-3451011.555244,0.874317,0.000000
77,148.244404,-32.966268,-4554896.465852,2819270.674254,-3451011.555245,0.874317,0.000000
78,148.244404,-32.966268,-4554896.465851,2819270.674254,-3451011.555246,0.874317,0.000000
79,148.244404,-32.966268,-4554896.465845,2819270.674267,-3451011.555245,0.874317,0.000000
80,148.244404,-32.966268,-4554896.465836,2819270.674283,-3451011.555243,0.874317,0.000000
81,148.244404,-32.966268,-4554896.465839,2819270.674278,-3451011.555244,0.874317,0.000000
82,148.244404,-32.966268,-4554896.465841,2819270.674273,-3451011.555244,0.874317,0.000000
83,148.244404,-32.966268,-4554896.465836,2819270.674282,-3451011.555243,0.874317,0.000000
84,148.244404,-32.966268,-4554896.465837,2819270.674281,-3451011.555243,0.874317,0.000000
85,148.244404,-32.966268,-4554896.465837,2819270.674280,-3451011.555243,0.874317,0.000000
86,148.244404,-32.966268,-4554896.465837,2819270.674281,-3451011.555243,0.874317,0.000000
87,148.244404,-32.966268,-4554896.465837,2819270.674280,-3451011.555244,0.874317,0.000000
88,148.244404,-32.966268,-4554896.465837,2819270.674280,-3451011.555244,0.874317,0.000000
89,148.244404,-32.966268,-4554896.465837,2819270.674280,-3451011.555244,0.874317,0.000000
90,148.244404,-32.966268,-4554896.465837,2819270.674280,-3451011.555244,0.874317,0.000000
91,148.244404,-32.966268,-4554896.465838,2819270.674280,-3451011.555244,0.874317,0.000000
