Iteration,Longitude(deg),Latitude(deg),X(m),Y(m),Z(m),Error,Step Size
0,-1.928284,85.908783,446709.615124,-94366.812839,6340444.848999,1.607547,6.666667
1,-1.928284,85.908783,1524137.575760,-321972.038395,6164242.340665,1.607547,6.666667
2,3.071716,70.908783,2089374.182693,112122.057178,6004960.659571,1.507446,8.819171
3,25.571716,83.408783,662592.205581,317058.919561,6314456.206205,1.484703,13.642255
4,30.571716,68.408783,2210173.732827,2355384.348221,5481371.827210,1.462326,13.642255
5,53.071716,80.908783,94366.812839,446709.615124,6340444.848999,1.355934,13.642255
6,53.071716,80.908783,1012732.669953,675324.878539,6239914.088824,1.355934,11.372787
7,53.071716,80.908783,1392519.371089,1048499.262444,6114750.992013,1.355934,8.927393
8,53.071716,80.908783,1092972.059307,923014.882189,6194792.646678,1.355934,8.202918
9,72.485779,78.916595,370186.427463,1173066.016264,6237411.925457,1.311188,13.369372
10,72.485779,78.916595,264669.249976,927750.358404,6283610.457129,1.311188,9.606995
11,113.701599,78.550385,-510582.486845,1163051.172958,6229423.574733,1.296883,19.105009
12,131.125916,73.543060,-1192097.569546,1365280.011360,6094686.659275,1.261426,24.709644
13,131.125916,73.543060,-179821.971190,1375198.985569,6204648.941574,1.261426,13.918572
14,115.460327,69.436310,-965916.452645,2028699.826978,5949241.948997,1.181383,14.145983
15,115.460327,69.436310,-595728.086621,1604311.413305,6123658.938786,1.181383,9.100094
16,115.460327,69.436310,-492909.387885,2005125.132255,6014428.894122,1.181383,5.208361
17,115.460327,69.436310,-838679.344625,2449616.292066,5809404.109449,1.181383,5.208361
18,128.918379,60.995443,-1947819.984342,2412375.958034,5555096.430945,1.102267,9.027212
19,128.918379,60.995443,-1976675.794367,1943901.760825,5724836.394681,1.102267,9.027212
20,128.918379,60.995443,-1445773.964528,2157268.099941,5805977.895849,1.102267,5.208361
21,128.918379,60.995443,-1842132.611549,2124633.742068,5705586.283564,1.102267,3.633986
22,142.108243,55.277017,-2873604.878993,2236376.477040,5219011.009685,1.100961,6.822278
23,144.687043,46.577406,-3583842.709351,2538719.061444,4609599.222949,1.049421,9.101507
24,144.687043,46.577406,-2580939.224022,2478665.118567,5262033.224915,1.049421,5.567857
25,137.051094,43.254067,-3405566.767304,3170069.242702,4348101.967276,0.987792,6.603254
26,145.580126,33.870146,-5108557.889405,2914911.856538,2458823.097797,0.970565,6.603254
27,137.944178,30.546808,-4136622.978558,4198781.229668,2428880.138367,0.941803,6.603254
28,146.473210,21.162887,-5502030.550226,3026734.566306,1113023.025462,0.919884,6.603254
29,138.837261,17.839548,-4480307.186908,4408041.109597,1081099.309808,0.912461,6.603254
30,147.366293,8.455627,-5629879.759383,2983717.881021,-286287.823954,0.901492,6.603254
31,139.730345,5.132288,-4609908.938302,4396264.976051,-318655.136147,0.892994,6.603254
32,141.192790,12.316752,-4856562.761245,3905782.995612,1351656.771910,0.882605,4.423774
33,143.913930,8.590073,-5096943.864813,3714857.542317,946357.452424,0.868215,3.407617
34,143.913930,8.590073,-4921100.320808,3964895.731076,859087.368534,0.868215,2.358931
35,143.862993,4.066171,-5237278.293891,3640261.617187,-6537.089690,0.867005,2.358931
36,143.862993,4.066171,-5023018.358275,3852186.797588,778773.149483,0.867005,1.987379
37,143.862993,4.066171,-5072705.474942,3794618.703148,738568.459650,0.867005,1.883070
38,143.862993,4.066171,-5097224.901136,3765537.630043,718454.924336,0.867005,1.856078
