Iteration,Longitude(deg),Latitude(deg),X(m),Y(m),Z(m),Error,Step Size
0,-40.573044,0.642303,5105352.088706,-3822494.751917,-67194.369538,11813.519780,3.004626
1,-40.573044,0.642303,4973187.000154,-3983995.323131,-274438.195998,11813.519780,2.916667
2,-40.573044,0.642303,5047717.320220,-3887868.307012,-291698.513533,11813.519780,1.945994
3,-40.573044,0.642303,4949779.297477,-4020951.370947,-110383.207227,11813.519780,0.972997
4,-40.573044,0.642303,4883828.202233,-4101821.042049,62382.637542,11813.519780,0.972997
5,-40.573044,0.642303,4907723.632008,-4073622.468743,-21842.831356,11813.519780,0.524240
6,-41.510544,2.204803,4772652.197981,-4224051.985513,243735.590376,11444.426415,0.972997
7,-41.510544,2.204803,4809112.727188,-4186660.603354,157392.524405,11444.426415,0.486498
8,-41.510544,2.204803,4791029.458995,-4205492.768446,200568.625194,11444.426415,0.243249
9,-41.510544,2.204803,4772206.533118,-4225108.294118,234023.921162,11444.426415,0.201823
10,-41.510544,2.204803,4781877.404390,-4214806.680112,222153.372641,11444.426415,0.100911
11,-41.510544,2.204803,4772870.763605,-4223520.118046,248591.215618,11444.426415,0.100911
12,-41.510544,2.204803,4768065.761654,-4228514.751461,255739.513404,11444.426415,0.052822
13,-41.510544,2.204803,4772761.836418,-4223786.361128,246163.420736,11444.426415,0.026411
14,-41.510544,2.204803,4772707.106101,-4223919.250664,244949.509969,11444.426415,0.013205
15,-41.510544,2.204803,4771507.576043,-4225169.555508,246736.653296,11444.426415,0.013205
16,-41.534500,2.223572,4770825.616161,-4225993.974420,245809.364343,10658.336806,0.015027
17,-41.534500,2.223572,4771970.102443,-4224876.298326,242808.284768,10658.336806,0.015027
18,-41.560898,2.220367,4768888.359983,-4228200.687016,245455.307197,10214.696785,0.020775
19,-41.560898,2.220367,4767742.157489,-4229316.697198,248456.339062,10214.696785,0.020775
20,-41.560898,2.220367,4767059.669237,-4230140.675206,247529.059745,10214.696785,0.015027
21,-41.534500,2.223572,4770825.616161,-4225993.974420,245809.364343,10214.568813,0.020775
22,-41.492615,2.170853,4774081.110464,-4222653.263996,239984.186326,10214.275502,0.037051
23,-41.418877,2.150902,4779573.971561,-4216560.686586,237779.670961,10214.111088,0.056783
24,-41.376991,2.098183,4788791.795586,-4206795.295257,225026.235155,10214.020374,0.056783
25,-41.376991,2.098183,4784748.206625,-4210995.764669,232308.304818,10214.020374,0.037051
26,-41.376991,2.098183,4781679.424461,-4214332.372113,234955.489576,10214.020374,0.020775
27,-41.376991,2.098183,4779747.107465,-4216543.659293,234601.409860,10214.020374,0.020775
28,-41.409416,2.079796,4780487.793355,-4215963.406455,229922.432214,10213.946310,0.024688
29,-41.344147,2.022690,4785457.061841,-4210664.200526,223611.940905,10213.924127,0.041751
30,-41.376362,1.957363,4783277.045163,-4213520.011982,216392.758918,10213.704873,0.056675
31,-41.376362,1.957363,4788233.485121,-4208208.629937,210081.808448,10213.704873,0.056675
32,-41.342888,1.741051,4786317.371827,-4211234.604114,192486.391376,10213.338727,0.095330
33,-41.342888,1.741051,4781370.717229,-4216555.312396,198797.896682,10213.338727,0.095330
34,-41.373844,1.394085,4784828.967763,-4214513.687128,154135.027575,10212.661929,0.180529
35,-41.373844,1.394085,4789739.932438,-4209159.567166,147822.328502,10212.661929,0.180529
36,-41.337852,0.614494,4788609.886581,-4212505.094788,67945.988409,10211.879831,0.355812
37,-41.450396,0.338911,4780516.277375,-4222070.807079,37474.630500,10211.645517,0.449311
38,-41.450396,0.338911,4783110.112763,-4219016.340716,-48727.351353,10211.645517,0.449311
39,-41.385126,0.281805,4785348.481408,-4216644.874346,31160.264940,10211.611491,0.355812
40,-41.416082,-0.065161,4783123.971241,-4219277.711072,-7205.101370,10211.555777,0.180529
41,-41.416082,-0.065161,4786098.961122,-4215908.885013,-770.958451,10211.555777,0.152695
42,-41.416082,-0.065161,4784998.738466,-4217135.619786,13586.168485,10211.555777,0.080349
43,-41.416082,-0.065161,4782033.817156,-4220513.317837,7152.032761,10211.555777,0.080349
44,-41.406997,0.061315,4783793.302701,-4218519.521354,6779.820916,10211.555185,0.061227
45,-41.421212,0.031379,4782748.551973,-4219708.018268,3469.696778,10211.555173,0.054286
46,-41.415094,-0.009407,4783199.798949,-4219197.812956,-1040.171658,10211.553116,0.029564
47,-41.415094,-0.009407,4783384.373990,-4218986.778292,3997.292153,10211.553116,0.020763
48,-41.415094,-0.009407,4783564.212995,-4218784.751094,482.992088,10211.553116,0.019184
49,-41.412597,0.016815,4783383.479913,-4218989.285881,1859.351287,10211.553100,0.010899
50,-41.411995,0.004036,4783427.991555,-4218939.207889,446.290957,10211.552902,0.010790
51,-41.411995,0.004036,4783302.854733,-4219081.107003,56.324736,10211.552902,0.007040
52,-41.411995,0.004036,4783356.284104,-4219020.495629,-552.713886,10211.552902,0.003782
53,-41.411995,0.004036,4783436.800452,-4218929.242725,-107.979565,10211.552902,0.003728
54,-41.411995,0.004036,4783369.828595,-4219005.175748,-25.827415,10211.552902,0.003714
55,-41.411995,0.004036,4783398.913487,-4218972.194828,210.231771,10211.552902,0.001857
56,-41.411995,0.004036,4783413.453374,-4218955.702111,328.261364,10211.552902,0.000929
57,-41.411995,0.004036,4783420.722677,-4218947.455188,387.276160,10211.552902,0.000464
58,-41.411995,0.004036,4783424.357169,-4218943.331586,416.783558,10211.552902,0.000232
59,-41.411995,0.004036,4783426.174375,-4218941.269749,431.537257,10211.552902,0.000116
60,-41.411995,0.004036,4783427.082968,-4218940.238822,438.914107,10211.552902,0.000058
61,-41.411995,0.004036,4783427.886097,-4218939.327892,442.174656,10211.552902,0.000029
62,-41.411995,0.004036,4783427.537262,-4218939.723356,442.602532,10211.552902,0.000029
63,-41.411995,0.004036,4783427.930710,-4218939.276754,447.427001,10211.552902,0.000019
64,-41.411995,0.004036,4783427.749197,-4218939.482839,444.730755,10211.552902,0.000010
65,-41.411995,0.004036,4783427.840209,-4218939.379669,444.552783,10211.552902,0.000007
66,-41.411995,0.004036,4783427.999224,-4218939.199249,445.767427,10211.552902,0.000007
67,-41.411995,0.004036,4783427.995389,-4218939.203569,446.029192,10211.552902,0.000003
68,-41.411995,0.004036,4783427.951801,-4218939.252994,445.987296,10211.552902,0.000002
69,-41.411995,0.004036,4783427.971678,-4218939.230442,446.139126,10211.552902,0.000001
70,-41.411995,0.004036,4783427.981616,-4218939.219165,446.215041,10211.552902,0.000000
71,-41.411995,0.004036,4783427.996164,-4218939.202656,446.353455,10211.552902,0.000000
72,-41.411995,0.004036,4783427.986466,-4218939.213662,446.261179,10211.552902,0.000000
73,-41.411995,0.004036,4783427.986945,-4218939.213122,446.228459,10211.552902,0.000000
74,-41.411995,0.004036,4783427.989010,-4218939.210776,446.276068,10211.552902,0.000000
75,-41.411995,0.004036,4783427.990282,-4218939.209332,446.283512,10211.552902,0.000000
