Iteration,Longitude(deg),Latitude(deg),X(m),Y(m),Z(m),Error,Step Size
0,1.057648,49.194252,4175395.406389,77084.194882,4804703.978437,214.756570,8.819171
1,-11.442352,71.694252,1969429.249443,-398621.784001,6033057.101449,122.702691,13.642255
2,-167.692352,87.055748,-321152.947670,-70067.572484,6348304.862172,50.897341,20.327185
3,179.182648,31.430748,-5446685.857238,77704.906685,3306737.605567,2.303240,33.837336
4,-157.067352,10.180748,-3801740.127489,-3203647.945911,-3982106.736334,1.688186,33.837336
5,-170.192352,-45.444252,-4417032.670679,-763561.200634,-4522124.301913,0.219043,33.837336
6,-170.192352,-45.444252,-5833885.746258,-1713703.584575,-1919581.998863,0.219043,16.918668
7,-170.192352,-45.444252,-4399968.628604,-1377666.811196,-4392370.346676,0.219043,13.177083
8,-170.192352,-45.444252,-5278881.766661,-1412835.862575,-3278035.135693,0.219043,7.136094
9,-165.709930,-37.875893,-4884925.672821,-1244250.323551,-3894579.680331,0.033428,4.499546
10,-165.709930,-37.875893,-4893270.779482,-575861.419058,-4036718.413772,0.033428,4.499546
11,-169.845673,-42.070229,-4667502.805498,-835975.764624,-4251397.586392,0.009073,3.546327
12,-169.845673,-42.070229,-4712582.869190,-1260734.101444,-4095085.385539,0.009073,2.735180
13,-166.572052,-39.505836,-4793081.212434,-1144343.983955,-4035803.508590,0.006465,2.283542
14,-169.801956,-41.081383,-4738593.137109,-852440.457653,-4169240.004658,0.006105,1.861512
15,-169.016338,-41.181919,-4719249.883892,-915932.750233,-4177649.641301,0.004351,1.575003
16,-169.016338,-41.181919,-4647403.761047,-632794.319393,-4307757.871314,0.004351,1.575003
17,-170.216623,-41.525537,-4712553.306997,-812591.316195,-4206296.096266,0.004330,1.494820
18,-170.216623,-41.525537,-4745210.179837,-982547.595358,-4133168.372500,0.004330,0.868024
19,-170.273921,-41.704663,-4700340.970728,-805646.084131,-4221169.806299,0.004224,0.619041
20,-172.703140,-42.481462,-4672894.565853,-598351.297233,-4285196.254640,0.004136,1.230919
21,-172.760438,-42.660587,-4629408.582857,-483928.271413,-4346001.313217,0.004060,1.230919
22,-175.189657,-43.437386,-4568113.511365,-187665.068652,-4432307.815396,0.003897,1.230919
23,-175.189657,-43.437386,-4658046.243644,-543972.810879,-4308390.682542,0.003897,1.091721
24,-177.272250,-43.982742,-4591599.768340,-218763.186167,-4406712.016074,0.003737,1.682031
