Iteration,Longitude(deg),Latitude(deg),X(m),Y(m),Z(m),Error,Step Size
0,72.984970,-38.262226,968406.421181,4550124.550993,-4348762.078000,1.169570,3.333333
1,72.984970,-38.262226,1212535.266145,4683457.386241,-4142459.074926,1.169570,1.666667
2,72.984970,-38.262226,1516212.574612,4954658.965396,-3706815.563907,1.169570,1.666667
3,72.984970,-38.262226,1730888.664881,4883806.964304,-3706815.563907,1.169570,1.666667
4,72.984970,-38.262226,1492134.033400,4875975.433753,-3818476.682386,1.169570,0.833333
5,72.984970,-38.262226,1479826.945524,4835758.498278,-3873636.149089,1.169570,0.416667
6,72.984970,-38.262226,1503020.060298,4817487.873155,-3887354.985349,1.169570,0.303695
7,72.906845,-37.832539,1482519.754472,4821055.106776,-3890780.226791,1.085240,0.250461
8,73.219345,-38.301289,1419047.651363,4788409.515745,-3953822.586411,0.786814,0.250461
9,73.219345,-38.301289,1462014.745443,4824533.026003,-3894203.677967,0.786814,0.250461
10,73.727158,-38.594257,1398690.658548,4791578.746233,-3957212.628561,0.418533,0.394404
11,73.727158,-38.594257,1383818.041176,4764772.625465,-3994382.525294,0.418533,0.394404
12,73.727158,-38.594257,1335979.439792,4757071.550503,-4019598.188718,0.418533,0.394404
13,74.449814,-38.818867,1333966.194730,4793817.262258,-3976669.974125,0.370279,0.435249
14,73.639267,-37.485859,1427393.921238,4862168.682746,-3860318.832692,0.287893,0.686606
15,73.639267,-37.485859,1361856.848714,4865138.062039,-3880070.410383,0.287893,0.686606
16,73.639267,-37.485859,1394609.703414,4863772.680887,-3870201.980451,0.287893,0.343303
17,73.639267,-37.485859,1426296.974962,4879966.391627,-3838351.719036,0.287893,0.217625
18,73.932236,-37.847187,1380497.513880,4828530.453212,-3918756.912088,0.271017,0.217625
19,73.893173,-37.632343,1403083.797723,4858924.885912,-3873206.975441,0.222471,0.197202
20,74.459579,-38.247578,1343733.621470,4832106.794807,-3927062.536061,0.171095,0.362923
21,74.459579,-38.247578,1350983.230929,4845376.320147,-3908306.455722,0.171095,0.362923
22,74.459579,-38.247578,1319648.850366,4828288.474464,-3939819.443434,0.171095,0.197202
23,74.459579,-38.247578,1331684.828643,4830216.421129,-3933444.171918,0.171095,0.098601
24,74.459579,-38.247578,1328073.169784,4823533.126476,-3942792.389159,0.171095,0.098601
25,74.425400,-38.372089,1344315.551098,4823051.048075,-3937907.530862,0.154750,0.108812
26,74.425400,-38.372089,1336046.386636,4825566.445534,-3937641.942088,0.154750,0.071021
27,74.425400,-38.372089,1344026.673280,4827581.653466,-3932487.332009,0.154750,0.035510
28,74.425400,-38.372089,1344171.634165,4825317.033321,-3935198.006477,0.154750,0.017755
29,74.425400,-38.372089,1344243.723153,4824184.211279,-3936552.912480,0.154750,0.008878
30,74.425400,-38.372089,1343353.978113,4822232.767988,-3939228.670582,0.154750,0.008878
31,74.425400,-38.372089,1344387.117941,4821917.543824,-3939261.861521,0.154750,0.008878
32,74.425400,-38.372089,1343852.658879,4822358.588673,-3938906.709506,0.154750,0.007229
33,74.425400,-38.372089,1344084.102317,4822704.847056,-3938407.139761,0.154750,0.003615
34,74.425400,-38.372089,1344199.826040,4822877.954736,-3938157.340206,0.154750,0.001807
35,74.425400,-38.372089,1344386.854475,4822925.089011,-3938036.586413,0.154750,0.001689
36,74.425400,-38.372089,1344368.931971,4823208.420154,-3937697.965641,0.154750,0.001689
37,74.425400,-38.372089,1344351.203473,4822988.069061,-3937972.058964,0.154750,0.000844
38,74.425400,-38.372089,1344324.511233,4822909.378693,-3938076.837931,0.154750,0.000844
39,74.425400,-38.372089,1344288.859985,4822972.358762,-3938012.310890,0.154750,0.000844
40,74.425400,-38.372089,1344302.205598,4823011.703692,-3937959.921091,0.154750,0.000422
41,74.425400,-38.372089,1344320.031675,4822980.214050,-3937992.184958,0.154750,0.000422
42,74.425400,-38.372089,1344333.377457,4823019.558697,-3937939.794994,0.154750,0.000422
43,74.425400,-38.372089,1344324.464321,4823035.303419,-3937923.662949,0.154750,0.000211
44,74.425400,-38.372089,1344321.115778,4823056.947936,-3937898.466271,0.154750,0.000135
45,74.425400,-38.372089,1344312.202455,4823072.692511,-3937882.334121,0.154750,0.000135
46,74.425400,-38.372089,1344306.637789,4823066.792667,-3937891.398734,0.154750,0.000135
47,74.425443,-38.372194,1344308.878362,4823031.375952,-3937933.726030,0.142831,0.000135
48,74.425443,-38.372194,1344312.768760,4823048.098137,-3937912.063152,0.142831,0.000067
49,74.425443,-38.372194,1344311.377591,4823046.623165,-3937914.329296,0.142831,0.000034
50,74.425443,-38.372194,1344310.682007,4823045.885679,-3937915.462368,0.142831,0.000017
51,74.425443,-38.372194,1344310.717397,4823044.348524,-3937917.320427,0.142831,0.000010
52,74.425443,-38.372194,1344310.186862,4823044.179698,-3937917.705716,0.142831,0.000007
53,74.425443,-38.372194,1344310.086642,4823044.663945,-3937917.150578,0.142831,0.000003
54,74.425443,-38.372194,1344310.210429,4823045.090441,-3937916.589741,0.142831,0.000003
55,74.425443,-38.372194,1344309.971684,4823045.304796,-3937916.409919,0.142831,0.000002
56,74.425443,-38.372194,1344310.098426,4823045.119317,-3937916.592590,0.142831,0.000001
57,74.425443,-38.372194,1344310.042424,4823045.133755,-3937916.594015,0.142831,0.000000
58,74.425443,-38.372194,1344310.046109,4823045.094604,-3937916.640395,0.142831,0.000000
59,74.425443,-38.372194,1344310.014424,4823045.140974,-3937916.594727,0.142831,0.000000
60,74.425443,-38.372194,1344310.007884,4823045.137885,-3937916.600703,0.142831,0.000000
61,74.425443,-38.372194,1344309.994805,4823045.131706,-3937916.612654,0.142831,0.000000
62,74.425443,-38.372194,1344310.003440,4823045.130674,-3937916.610982,0.142831,0.000000
63,74.425443,-38.372194,1344309.990741,4823045.147676,-3937916.594604,0.142831,0.000000
