Iteration,Longitude(deg),Latitude(deg),X(m),Y(m),Z(m),Error,Step Size
0,-176.710022,-67.905937,-2401955.993024,-138074.377043,-5887154.914745,63375.162720,11.303883
1,173.289978,-45.405937,-4454852.439687,524114.883205,-4519135.643272,7228.688013,17.280368
2,128.289978,-24.155937,-3608112.482484,4570306.180320,-2594052.145022,3454.448765,29.854974
3,134.539978,-18.218437,-4250938.988930,4319753.685345,-1981428.574006,1634.037093,23.073798
4,152.352478,-33.296562,-4727164.141916,2476296.213829,-3481496.747564,124.336443,11.932711
5,152.352478,-33.296562,-4994325.127927,2765625.241820,-2834522.275649,124.336443,10.182179
6,152.352478,-33.296562,-4660476.239860,3497379.116605,-2585728.264971,124.336443,5.640500
7,144.442322,-30.811211,-4173078.172334,3361084.227729,-3448206.436716,91.973565,5.640500
8,144.442322,-30.811211,-4656019.390370,3169481.181893,-2982707.800523,91.973565,4.067831
9,149.718201,-34.049126,-4569075.509930,2668005.480100,-3551498.641703,23.246831,3.567948
10,149.718201,-34.049126,-4631540.331846,2704678.848186,-3441707.985291,23.246831,2.823551
11,147.079803,-32.133728,-4538253.887604,2938197.849348,-3373108.980617,11.238301,1.472706
12,147.079803,-32.133728,-4478656.053252,2899409.355399,-3483727.274962,11.238301,1.472706
13,148.399460,-33.387867,-4540667.756556,2793496.451455,-3490113.425265,4.400118,0.847331
14,148.399460,-33.387867,-4570809.307774,2848551.531861,-3405712.816867,4.400118,0.770576
15,147.656924,-32.534194,-4547559.320571,2879635.206674,-3410639.510847,3.342134,0.514613
16,148.048411,-32.721241,-4557674.370008,2842599.280146,-3428136.852617,1.552791,0.475627
17,148.126064,-33.007792,-4546910.885091,2827333.822302,-3454856.613396,0.959543,0.282995
18,148.302394,-33.029678,-4554506.550343,2812657.687071,-3456923.565873,0.939045,0.176180
19,148.131320,-32.869988,-4554205.841087,2831290.621828,-3442012.934243,0.850245,0.108195
20,148.171460,-32.978813,-4550665.872396,2824671.490098,-3452183.142285,0.814472,0.098856
21,148.226892,-32.977039,-4553484.679873,2820322.159859,-3452015.967737,0.809721,0.064225
22,148.165248,-32.923957,-4553143.235095,2826893.152566,-3447056.640588,0.780164,0.037626
23,148.165248,-32.923957,-4551988.548226,2824138.436545,-3450858.236049,0.780164,0.034368
24,148.165248,-32.923957,-4551626.560143,2830700.406628,-3445887.373946,0.780164,0.034368
25,148.163725,-32.941210,-4552182.151409,2826464.114583,-3448661.059020,0.777014,0.023387
26,148.163725,-32.941210,-4552142.130869,2828687.702843,-3446870.876441,0.777014,0.013200
27,148.163725,-32.941210,-4552651.912983,2827234.018050,-3447410.655805,0.777014,0.011893
28,148.152429,-32.928292,-4552277.936226,2827767.284517,-3447452.038858,0.776947,0.007759
29,148.158729,-32.931276,-4552441.734498,2827175.308868,-3447734.162857,0.776481,0.007201
30,148.159652,-32.935497,-4552284.592810,2826976.119552,-3448137.427266,0.776305,0.004364
31,148.162571,-32.935934,-4552418.387635,2826737.787937,-3448187.317763,0.776300,0.002663
32,148.162571,-32.935934,-4552393.232371,2827014.029266,-3447945.687384,0.776300,0.001692
33,148.160516,-32.934606,-4552375.037369,2826937.152480,-3448056.069242,0.776283,0.001343
34,148.160598,-32.935383,-4552344.218870,2826909.009278,-3448132.278944,0.776282,0.001095
35,148.160598,-32.935383,-4552394.178318,2826833.644517,-3448144.687817,0.776282,0.000614
36,148.161061,-32.935229,-4552375.655795,2826877.587988,-3448118.479533,0.776280,0.000413
37,148.160673,-32.934956,-4552367.665755,2826915.336296,-3448090.860208,0.776280,0.000269
38,148.160732,-32.935238,-4552358.296366,2826902.957125,-3448118.746265,0.776280,0.000215
39,148.160881,-32.935163,-4552370.209719,2826893.920803,-3448112.321001,0.776280,0.000148
40,148.160740,-32.935078,-4552366.850670,2826907.441081,-3448103.876536,0.776280,0.000095
41,148.160771,-32.935179,-4552363.235036,2826901.708349,-3448113.286597,0.776280,0.000075
42,148.160771,-32.935179,-4552360.588964,2826915.671375,-3448105.385823,0.776280,0.000075
43,148.160720,-32.935108,-4552364.381339,2826908.065473,-3448106.606374,0.776280,0.000069
44,148.160720,-32.935108,-4552362.198580,2826910.279144,-3448107.666155,0.776280,0.000047
45,148.160738,-32.935146,-4552363.262500,2826905.440329,-3448110.211431,0.776280,0.000026
46,148.160738,-32.935146,-4552363.010250,2826908.516022,-3448108.037529,0.776280,0.000020
47,148.160738,-32.935146,-4552364.633588,2826904.989779,-3448108.780277,0.776280,0.000020
48,148.160732,-32.935123,-4552364.164692,2826906.640264,-3448108.051114,0.776280,0.000012
49,148.160732,-32.935123,-4552364.173592,2826905.515038,-3448108.955775,0.776280,0.000010
50,148.160732,-32.935123,-4552363.715821,2826905.758990,-3448109.357438,0.776280,0.000007
51,148.160737,-32.935128,-4552364.169142,2826906.077651,-3448108.503445,0.776280,0.000004
52,148.160737,-32.935128,-4552364.280247,2826906.438622,-3448108.063781,0.776280,0.000003
53,148.160737,-32.935128,-4552364.284697,2826905.876009,-3448108.516111,0.776280,0.000003
54,148.160737,-32.935128,-4552364.253583,2826906.207726,-3448108.286779,0.776280,0.000002
55,148.160737,-32.935128,-4552364.200256,2826905.745934,-3448108.732776,0.776280,0.000002
56,148.160738,-32.935130,-4552363.984702,2826905.983358,-3448108.822109,0.776280,0.000002
