Iteration,Longitude(deg),Latitude(deg),X(m),Y(m),Z(m),Error,Step Size
0,81.261810,-36.709084,665603.151104,4330429.794740,-4619648.600964,130109.710239,6.666667
1,101.261810,-51.709084,-773439.612041,3884159.006635,-4982810.516488,70185.718045,11.303883
2,111.261810,-39.209084,-1794542.977263,4611845.153711,-4010329.386204,31279.274403,14.092945
3,131.261810,-54.209084,-2661419.494241,1170397.856058,-5657906.203855,25026.941085,14.092945
4,161.261810,-36.709084,-4848012.322242,1644564.043258,-3791560.454981,930.000102,21.953233
5,161.261810,-36.709084,-3959456.282833,-87212.193154,-4982810.516488,930.000102,21.953233
6,161.261810,-36.709084,-3660623.743692,2007305.398791,-4805781.739726,930.000102,14.092945
7,161.261810,-36.709084,-3482331.768050,3969187.601358,-3565650.263700,930.000102,14.092945
8,161.261810,-36.709084,-4624291.670195,3709819.508343,-2344515.304486,930.000102,14.092945
9,141.261810,-31.709084,-4236519.611177,3398730.923986,-3333191.555372,366.340016,11.303883
10,146.261810,-27.959084,-4688344.171707,3131253.750588,-2972500.946915,352.476552,9.223310
11,152.511810,-33.271584,-4735380.833004,2463842.756040,-3479180.830244,121.549774,5.113724
12,145.324310,-31.162209,-4492708.477214,3108079.463275,-3281485.245914,61.587235,3.866289
13,150.246185,-34.345802,-4577255.370893,2616521.291184,-3578602.995490,33.572341,3.278834
14,150.148529,-33.012794,-4643609.100139,2664962.613804,-3455331.118336,28.215352,2.642480
15,147.760834,-32.420753,-4558483.765357,2874984.125379,-3400023.420890,5.848026,1.403204
16,147.760834,-32.420753,-4590993.264992,2693473.074878,-3503644.640988,5.848026,1.117450
17,147.760834,-32.420753,-4504706.890635,2901668.258423,-3448450.053561,5.848026,1.117450
18,148.543610,-33.105644,-4562535.904087,2791151.053392,-3464099.112867,1.267747,0.619136
19,148.543610,-33.105644,-4532835.384127,2867479.956224,-3440260.408348,1.267747,0.480686
20,148.543610,-33.105644,-4553218.406504,2852139.528534,-3426104.355590,1.267747,0.398182
21,148.543610,-33.105644,-4545441.376036,2844569.266278,-3442664.133328,1.267747,0.325965
22,148.410270,-33.137127,-4554365.543041,2800739.133747,-3466995.273375,1.144953,0.274731
23,148.219159,-32.999153,-4551978.054698,2820239.172070,-3454080.309996,0.951808,0.145656
24,148.219159,-32.999153,-4557839.915125,2800805.005017,-3462296.066934,0.951808,0.110675
25,148.219159,-32.999153,-4555469.545408,2820324.193952,-3449393.712229,0.951808,0.110675
