Iteration,Longitude(deg),Latitude(deg),X(m),Y(m),Z(m),Error,Step Size
0,-164.269409,9.473434,-6056079.578075,-1705776.597365,1042846.364343,0.025669,11.303883
1,-164.269409,9.473434,-6138999.953286,-1729132.240839,-58223.801397,0.025669,11.303883
2,-164.269409,9.473434,-6260279.118987,-628234.835453,1042846.364343,0.025669,6.666667
3,-154.269409,-0.526566,-5153684.837799,-3707472.228948,-610167.770878,0.019462,6.666667
4,-156.769409,6.973434,-5817959.157850,-2497258.208623,769218.129650,0.004617,6.009252
5,-159.894409,6.348434,-5952973.186780,-2179137.524065,700566.753706,0.002258,4.103691
6,-159.894409,6.348434,-5903810.677087,-1873433.135855,1516705.592721,0.002258,4.103691
7,-158.956909,8.535934,-5887278.124951,-2264995.915468,940436.506051,0.000285,3.467358
8,-158.956909,8.535934,-5895190.538292,-2388841.961023,468311.982572,0.000285,1.927083
9,-158.956909,8.535934,-5924791.977648,-2253960.403899,702713.387796,0.000285,1.834459
10,-158.956909,8.535934,-5910348.190245,-2291235.910752,703786.674840,0.000285,1.810563
11,-158.956909,8.535934,-5883911.238928,-2161821.034791,1173655.190289,0.000285,1.810563
12,-160.553589,16.060349,-5781033.916277,-2041088.438259,1753146.440643,0.000277,3.232320
13,-159.790649,11.486374,-5866379.675957,-2159494.507025,1261774.456718,0.000197,3.163502
14,-159.564514,11.154648,-5864560.618298,-2185146.038463,1225793.851441,0.000176,2.278125
15,-160.115585,13.690430,-5828562.059206,-2108116.970343,1499726.777808,0.000090,1.147872
16,-160.115585,13.690430,-5828255.926114,-2134055.753485,1464044.017940,0.000090,1.147872
17,-160.115585,13.690430,-5847827.512298,-2153491.969976,1354126.792836,0.000090,0.591228
18,-160.115585,13.690430,-5848813.880269,-2127678.509351,1389953.751183,0.000090,0.591228
19,-160.620823,14.863430,-5816732.930468,-2046019.197057,1625499.194814,0.000037,0.934511
20,-160.620823,14.863430,-5808279.203060,-2051404.265875,1648619.795923,0.000037,0.649790
21,-161.521285,17.533878,-5769986.647507,-1928227.382646,1909255.780980,0.000026,1.289506
22,-162.118200,18.436506,-5760404.976460,-1858539.630031,2004276.216778,0.000009,1.637144
23,-161.220283,16.424311,-5793726.514240,-1970057.005571,1791815.342204,0.000006,0.903571
24,-161.595263,17.482143,-5774105.919511,-1921319.614434,1903795.283734,0.000005,0.900560
25,-161.762986,17.694866,-5772948.572864,-1902182.308836,1926237.952749,0.000001,0.600170
26,-161.762986,17.694866,-5784003.289203,-1940947.936660,1853511.551942,0.000001,0.314998
27,-161.762986,17.694866,-5780852.541777,-1921701.828254,1882961.070462,0.000001,0.310356
28,-161.568570,17.248141,-5780543.120988,-1926453.262228,1879077.946204,0.000000,0.218963
29,-161.568570,17.248141,-5778835.912265,-1918013.818005,1892819.076706,0.000000,0.204099
30,-161.568570,17.248141,-5776361.911562,-1912212.125117,1906104.215963,0.000000,0.114653
31,-161.613082,17.373964,-5777740.526584,-1921975.358533,1892148.986189,0.000000,0.114653
32,-161.637085,17.407535,-5777856.158885,-1917884.259575,1895917.881330,0.000000,0.074249
33,-161.637085,17.407535,-5779267.821061,-1922862.048642,1886613.006463,0.000000,0.039889
34,-161.637085,17.407535,-5778335.111710,-1920514.148321,1891819.180279,0.000000,0.039628
35,-161.637085,17.407535,-5778683.278897,-1921030.771943,1890241.155514,0.000000,0.025332
36,-161.619640,17.374695,-5778302.890424,-1919985.868354,1892449.461700,0.000000,0.024571
37,-161.619901,17.372452,-5778381.963373,-1919982.964987,1892212.550325,0.000000,0.017994
38,-161.628428,17.390554,-5778099.638814,-1918934.363621,1894124.525563,0.000000,0.009032
39,-161.626426,17.384907,-5778209.850462,-1919195.072365,1893528.101026,0.000000,0.008393
40,-161.623664,17.380091,-5778268.427029,-1919523.847410,1893019.449468,0.000000,0.004701
41,-161.626736,17.386526,-5778169.410433,-1919146.913792,1893699.155822,0.000000,0.003062
42,-161.626736,17.386526,-5778214.391600,-1919265.227008,1893443.703483,0.000000,0.002950
43,-161.624969,17.382704,-5778230.172912,-1919364.959614,1893295.441701,0.000000,0.001736
44,-161.625892,17.385123,-5778170.603017,-1919237.356805,1893604.491986,0.000000,0.001736
45,-161.626084,17.385220,-5778188.551174,-1919226.358795,1893561.163018,0.000000,0.001261
46,-161.625479,17.383938,-5778208.525849,-1919300.731431,1893425.736028,0.000000,0.000635
47,-161.625479,17.383938,-5778191.869400,-1919255.096091,1893522.172823,0.000000,0.000593
48,-161.625479,17.383938,-5778194.374717,-1919252.136305,1893517.558799,0.000000,0.000456
