Iteration,Longitude(deg),Latitude(deg),X(m),Y(m),Z(m),Error,Step Size
0,140.565094,62.949249,-1219943.333405,1425088.474695,6075583.884718,0.251885,6.666667
1,125.565094,57.949249,-1973378.163591,2759936.268566,5382740.245749,0.233179,8.819171
2,125.565094,57.949249,-3056053.643199,2996358.277192,4713098.592597,0.233179,8.819171
3,110.565094,32.949249,-1881949.466524,5016122.157432,3449236.860805,0.189765,14.529663
4,110.565094,32.949249,-857318.939681,4596528.915065,4323376.675386,0.189765,14.529663
5,65.565094,-2.050751,2636696.300998,5803164.575989,-226712.835160,0.149134,27.284509
6,65.565094,-2.050751,1555130.972650,6041552.581191,-1322893.502835,0.149134,27.284509
7,65.565094,-2.050751,-61315.522733,6216676.863171,1419933.983909,0.149134,14.529663
8,65.565094,-2.050751,1044173.134785,6283578.717559,325969.999641,0.149134,8.819171
9,65.565094,-2.050751,2068610.967500,5862736.518005,1419933.983909,0.149134,8.819171
10,65.565094,-2.050751,1719710.936252,6124259.306514,463921.691784,0.149134,7.120003
11,65.565094,-2.050751,2212420.572637,5957800.506633,-537117.872063,0.149134,5.208333
12,65.565094,-2.050751,2081135.086480,6028914.744601,41036.515934,0.149134,3.135832
13,65.565094,-2.050751,2256193.843774,5963298.095440,-170589.071724,0.149134,2.347364
14,65.565094,-2.050751,2673303.361932,5789148.841067,140369.616658,0.149134,2.347364
15,65.565094,-2.050751,2656116.287652,5798603.276985,-43189.374222,0.149134,1.173682
16,65.565094,-2.050751,2599686.748791,5822866.947093,-127947.590318,0.149134,0.884752
17,65.565094,-2.050751,2618288.824747,5813220.742409,-177335.495967,0.149134,0.442376
18,65.565094,-2.050751,2627517.113332,5808243.793966,-202025.670279,0.149134,0.221188
19,65.565094,-2.050751,2632112.872896,5805716.954716,-214369.651885,0.149134,0.110594
20,65.565094,-2.050751,2634406.131890,5804443.956034,-220541.346187,0.149134,0.055297
21,65.565094,-2.050751,2635551.603118,5803805.063462,-223627.116699,0.149134,0.027649
22,65.565094,-2.050751,2636124.048782,5803485.019060,-225169.982481,0.149134,0.013824
23,65.565094,-2.050751,2636410.199078,5803324.847355,-225941.410464,0.149134,0.006912
24,65.565094,-2.050751,2636553.256086,5803244.724129,-226327.123223,0.149134,0.003456
25,65.565094,-2.050751,2636624.780054,5803204.653173,-226519.979295,0.149134,0.001728
26,65.565094,-2.050751,2636660.540904,5803184.615359,-226616.407253,0.149134,0.000864
27,65.565094,-2.050751,2636678.421046,5803174.595869,-226664.621213,0.149134,0.000432
28,65.565094,-2.050751,2636687.361046,5803169.585977,-226688.728188,0.149134,0.000216
29,65.565094,-2.050751,2636691.831028,5803167.080995,-226700.781674,0.149134,0.000108
30,65.565094,-2.050751,2636694.066015,5803165.828495,-226706.808417,0.149134,0.000054
31,65.565094,-2.050751,2636695.183507,5803165.202242,-226709.821789,0.149134,0.000027
32,65.565094,-2.050751,2636695.742253,5803164.889116,-226711.328474,0.149134,0.000014
33,65.565094,-2.050751,2636696.021625,5803164.732552,-226712.081817,0.149134,0.000007
34,65.565094,-2.050751,2636696.161312,5803164.654270,-226712.458489,0.149134,0.000003
35,65.565094,-2.050751,2636696.013186,5803164.701455,-226712.969979,0.149134,0.000002
36,65.565094,-2.050751,2636696.266077,5803164.595559,-226712.740992,0.149134,0.000001
37,65.565094,-2.050751,2636696.238831,5803164.606350,-226712.781386,0.149134,0.000001
38,65.565094,-2.050751,2636696.225208,5803164.611745,-226712.801584,0.149134,0.000001
39,65.565094,-2.050751,2636696.263103,5803164.593867,-226712.818372,0.149134,0.000000
40,65.565094,-2.050751,2636696.282051,5803164.584928,-226712.826766,0.149134,0.000000
41,65.565094,-2.050751,2636696.273908,5803164.588511,-226712.829717,0.149134,0.000000
42,65.565094,-2.050751,2636696.291524,5803164.580458,-226712.830963,0.149134,0.000000
43,65.565094,-2.050751,2636696.296927,5803164.577780,-226712.836635,0.149134,0.000000
44,65.565094,-2.050751,2636696.298963,5803164.576884,-226712.835898,0.149134,0.000000
45,65.565094,-2.050751,2636696.299980,5803164.576437,-226712.835529,0.149134,0.000000
