Iteration,Longitude(deg),Latitude(deg),X(m),Y(m),Z(m),Error,Step Size
0,144.478729,-32.837494,-4840852.628592,2311174.652374,-3438829.871278,84.920362,6.666667
1,144.478729,-32.837494,-4732442.518083,3075782.537362,-2960592.637412,84.920362,4.859127
2,144.478729,-32.837494,-4683998.875863,2900951.809013,-3202786.731156,84.920362,4.289846
3,150.416229,-32.212494,-4697646.516914,2666874.886403,-3380596.692954,50.176288,2.672032
4,147.056854,-33.618744,-4462059.384548,2891404.339554,-3511431.175339,25.039265,2.498100
5,146.607635,-32.876556,-4476914.300476,2951125.145674,-3442573.180987,15.970146,1.793877
6,148.624237,-32.730072,-4585649.022264,2796430.245146,-3429027.818042,3.545902,0.947934
7,148.624237,-32.730072,-4566496.590533,2865060.240344,-3397670.495731,3.545902,0.857707
8,148.624237,-32.730072,-4526994.854516,2891378.561442,-3427992.142553,3.545902,0.514087
9,148.162506,-33.054169,-4535886.776477,2801856.000999,-3489736.029427,0.967026,0.514087
10,148.162506,-33.054169,-4546671.677710,2850622.630728,-3436037.335194,0.967026,0.325347
11,148.162506,-33.054169,-4566224.718573,2816731.223595,-3438389.343694,0.967026,0.204728
12,148.162506,-33.054169,-4565762.639594,2789132.488016,-3461589.080941,0.967026,0.204728
13,148.351214,-32.948149,-4561179.866353,2811412.976485,-3449405.290550,0.815839,0.179854
14,148.418471,-33.039737,-4559839.422615,2803205.960764,-3457982.639133,0.804240,0.118082
15,148.273674,-33.024056,-4553374.515546,2815112.401020,-3456392.571158,0.750996,0.071413
16,148.348644,-32.990023,-4558846.566124,2810257.054694,-3453259.258287,0.743763,0.062661
17,148.257503,-32.990690,-4554298.421407,2817460.672811,-3453292.506312,0.732489,0.042766
18,148.288374,-33.007206,-4554974.243829,2814486.419800,-3454834.242218,0.728966,0.038673
19,148.310791,-32.994485,-4556758.912351,2813126.228013,-3453673.870451,0.726327,0.022959
20,148.310791,-32.994485,-4555081.135015,2815632.574164,-3453771.943616,0.726327,0.014657
21,148.291520,-33.001166,-4555440.641187,2814428.932490,-3454273.556707,0.725940,0.013561
22,148.289849,-32.996797,-4555586.652950,2814702.736555,-3453869.837136,0.725247,0.009898
23,148.300738,-32.996734,-4556126.172888,2813839.819445,-3453865.027785,0.724998,0.005218
24,148.297180,-32.994565,-4556065.032693,2814192.888813,-3453664.907059,0.724949,0.004651
25,148.294404,-32.996223,-4555842.034944,2814360.107843,-3453818.083512,0.724948,0.002753
26,148.298265,-32.996064,-4556040.572988,2814058.602002,-3453803.806544,0.724924,0.001789
27,148.296757,-32.995354,-4556002.277989,2814200.572435,-3453737.245664,0.724913,0.001633
28,148.295958,-32.995966,-4555932.267190,2814245.179564,-3453794.713310,0.724913,0.001007
29,148.297311,-32.995862,-4556002.674874,2814139.968032,-3453783.940047,0.724912,0.000617
30,148.296696,-32.995634,-4555984.874711,2814196.573278,-3453763.286212,0.724910,0.000570
31,148.296481,-32.995857,-4555962.129263,2814206.174332,-3453783.482505,0.724910,0.000368
32,148.296227,-32.995687,-4555958.380075,2814231.746037,-3453767.698088,0.724910,0.000214
33,148.296525,-32.995703,-4555972.207938,2814207.546376,-3453769.165971,0.724909,0.000152
34,148.296525,-32.995703,-4555963.711652,2814212.910274,-3453775.957271,0.724909,0.000130
35,148.296525,-32.995703,-4555972.749618,2814199.469462,-3453774.993388,0.724909,0.000078
36,148.296496,-32.995755,-4555968.095219,2814208.209100,-3453774.018476,0.724909,0.000052
37,148.296465,-32.995711,-4555968.852553,2814212.081876,-3453769.891641,0.724909,0.000034
38,148.296465,-32.995711,-4555970.340913,2814208.845933,-3453770.560515,0.724909,0.000025
39,148.296465,-32.995711,-4555968.845976,2814209.336502,-3453772.122277,0.724909,0.000019
40,148.296490,-32.995720,-4555969.595089,2814209.777561,-3453770.783737,0.724909,0.000015
41,148.296490,-32.995720,-4555969.601665,2814212.522935,-3453768.553101,0.724909,0.000015
42,148.296471,-32.995710,-4555969.225465,2814211.616062,-3453769.780030,0.724909,0.000014
43,148.296471,-32.995710,-4555969.314583,2814209.783750,-3453771.146275,0.724909,0.000011
44,148.296473,-32.995706,-4555969.601665,2814212.522935,-3453768.553101,0.724909,0.000011
45,148.296472,-32.995708,-4555969.550530,2814210.693717,-3453770.100615,0.724909,0.000005
46,148.296477,-32.995710,-4555969.493187,2814211.152569,-3453769.804371,0.724909,0.000003
47,148.296478,-32.995715,-4555969.276416,2814210.928558,-3453770.269713,0.724909,0.000004
48,148.296478,-32.995715,-4555969.375260,2814211.326766,-3453769.817902,0.724909,0.000003
49,148.296478,-32.995715,-4555969.380031,2814211.183665,-3453769.927472,0.724909,0.000002
50,148.296478,-32.995715,-4555969.389573,2814210.897463,-3453770.146612,0.724909,0.000002
51,148.296478,-32.995715,-4555969.413091,2814211.032790,-3453770.006267,0.724909,0.000001
52,148.296478,-32.995714,-4555969.367163,2814210.939068,-3453770.142301,0.724909,0.000001
53,148.296478,-32.995714,-4555969.367440,2814210.983302,-3453770.106137,0.724909,0.000001
54,148.296478,-32.995714,-4555969.321859,2814210.944872,-3453770.196966,0.724909,0.000000
55,148.296478,-32.995714,-4555969.344511,2814210.941970,-3453770.169634,0.724909,0.000000
56,148.296478,-32.995714,-4555969.332908,2814210.899188,-3453770.219464,0.724909,0.000000
57,148.296478,-32.995714,-4555969.350139,2814210.935715,-3453770.167321,0.724909,0.000000
58,148.296478,-32.995714,-4555969.367024,2814210.916952,-3453770.160383,0.724909,0.000000
59,148.296478,-32.995714,-4555969.352884,2814210.921530,-3453770.175206,0.724909,0.000000
60,148.296478,-32.995714,-4555969.353570,2814210.917984,-3453770.177177,0.724909,0.000000
61,148.296478,-32.995714,-4555969.357140,2814210.922368,-3453770.168951,0.724909,0.000000
62,148.296478,-32.995714,-4555969.359268,2814210.922787,-3453770.165823,0.724909,0.000000
63,148.296478,-32.995714,-4555969.360332,2814210.922997,-3453770.164260,0.724909,0.000000
64,148.296478,-32.995714,-4555969.361864,2814210.923644,-3453770.161729,0.724909,0.000000
65,148.296478,-32.995714,-4555969.361630,2814210.923425,-3453770.162213,0.724909,0.000000
66,148.296478,-32.995714,-4555969.361247,2814210.923263,-3453770.162845,0.724909,0.000000
67,148.296478,-32.995714,-4555969.361337,2814210.923331,-3453770.162672,0.724909,0.000000
68,148.296478,-32.995714,-4555969.361441,2814210.923240,-3453770.162609,0.724909,0.000000
69,148.296478,-32.995714,-4555969.361419,2814210.923223,-3453770.162652,0.724909,0.000000
