Iteration,Longitude(deg),Latitude(deg),X(m),Y(m),Z(m),Error,Step Size
0,42.916458,-88.637650,-285008.737856,-289182.356975,-6343859.013244,8172.315358,3.333333
1,42.916458,-88.637650,425989.524911,379095.709582,-6331294.988786,8172.315358,3.004626
2,40.103958,-85.200150,409572.394227,344940.341314,-6334310.230934,8008.577367,2.051845
3,40.103958,-85.200150,257578.574158,227968.097818,-6347501.544908,8008.577367,1.025923
4,40.103958,-85.200150,574124.674807,472917.842236,-6313377.333838,8008.577367,1.025923
5,40.103958,-85.200150,566990.856157,454208.095569,-6315381.979244,8008.577367,1.025923
6,40.103958,-85.200150,405225.625741,336584.122190,-6335034.409836,8008.577367,0.512961
7,40.103958,-85.200150,367674.920237,310297.701274,-6338641.811866,8008.577367,0.292607
8,40.103958,-85.200150,427373.355918,355842.766956,-6332542.799635,8008.577367,0.203079
9,40.103958,-85.200150,417384.371834,348309.372096,-6333620.547241,8008.577367,0.173628
10,40.103958,-85.200150,407410.982037,340752.923946,-6334673.802240,8008.577367,0.086814
11,40.103958,-85.200150,408494.687559,342844.312974,-6334492.387039,8008.577367,0.043407
12,40.103958,-85.200150,409034.291550,343891.748144,-6334401.401599,8008.577367,0.021704
13,40.103958,-85.200150,409303.530652,344415.900093,-6334355.839419,8008.577367,0.010852
14,40.103958,-85.200150,409438.009393,344678.084559,-6334333.040965,8008.577367,0.005426
15,40.103958,-85.200150,409505.213550,344809.203902,-6334321.637397,8008.577367,0.002713
16,40.103958,-85.200150,409538.806823,344874.770349,-6334315.934527,8008.577367,0.001356
17,40.103958,-85.200150,409555.601259,344907.555267,-6334313.082821,8008.577367,0.000678
18,40.103958,-85.200150,409563.997926,344923.948149,-6334311.656900,8008.577367,0.000339
19,40.103958,-85.200150,409568.196122,344932.144696,-6334310.943923,8008.577367,0.000170
20,40.103958,-85.200150,409570.295186,344936.242996,-6334310.587430,8008.577367,0.000085
21,40.103958,-85.200150,409571.344709,344938.292153,-6334310.409183,8008.577367,0.000042
22,40.103958,-85.200150,409571.869469,344939.316733,-6334310.320059,8008.577367,0.000021
23,40.103958,-85.200150,409572.131848,344939.829023,-6334310.275496,8008.577367,0.000011
24,40.103958,-85.200150,409572.263037,344940.085168,-6334310.253215,8008.577367,0.000005
25,40.103958,-85.200150,409572.328632,344940.213241,-6334310.242075,8008.577367,0.000003
26,40.103958,-85.200150,409572.361429,344940.277277,-6334310.236505,8008.577367,0.000001
27,40.103958,-85.200150,409572.377828,344940.309296,-6334310.233719,8008.577367,0.000001
28,40.103958,-85.200150,409572.386027,344940.325305,-6334310.232327,8008.577367,0.000000
29,40.103958,-85.200150,409572.390127,344940.333309,-6334310.231631,8008.577367,0.000000
30,40.103958,-85.200150,409572.392177,344940.337311,-6334310.231282,8008.577367,0.000000
