Iteration,Longitude(deg),Latitude(deg),X(m),Y(m),Z(m),Error,Step Size
0,8.611526,16.274094,6055146.025406,917000.782644,1775864.144469,3.169470,11.303883
1,8.611526,16.274094,6268710.900489,949343.381282,692395.399884,3.169470,11.303883
2,-31.388474,31.274094,4657781.629052,-2841836.047584,3291904.659997,2.707304,21.473498
3,-51.388474,58.774094,2068455.241641,-2590040.295447,5430933.076915,2.508625,30.527765
4,-91.388474,73.774094,1084211.216772,865871.615326,6204509.707219,2.451659,30.527765
5,-91.388474,73.774094,2628045.258435,-3290737.445304,4774039.573307,2.451659,21.473498
6,-61.388474,57.524094,1643905.503175,-3013693.271877,5357463.885940,2.445301,18.531130
7,-101.388474,72.524094,-698369.715317,-947644.714470,6247545.595089,2.424181,18.531130
8,-61.388474,47.524094,2066266.266186,-3787987.042006,4681307.067539,2.395865,21.473498
9,-121.388474,65.024094,-1406535.272752,-2305317.423083,5758844.594579,2.344354,27.054472
10,-71.388474,23.774094,1863861.032342,-5534667.516065,2555405.945226,2.239713,31.219429
11,-131.388474,41.274094,-4881167.933733,-1181918.295553,3918471.548628,2.189378,31.219429
12,-81.388474,0.024094,2579141.011726,-4728215.763768,-3405069.432950,2.133498,31.219429
13,-81.388474,0.024094,-4753988.828011,-3796625.530224,1908223.194872,2.133498,31.219429
14,-91.388474,-23.725906,1134246.796544,-3368104.591009,-5278466.632071,2.091736,31.219429
15,-113.888474,2.836594,-2579731.830859,-5824659.003309,313528.742583,2.043776,18.074042
16,-113.888474,2.836594,-3323441.157386,-4947952.117430,-2262441.872937,2.043776,18.074042
17,-105.138474,-16.382156,-1598470.687398,-5908418.391551,-1787340.276972,2.025861,12.832598
18,-105.138474,-16.382156,-566560.349005,-6300400.256443,812495.231762,2.025861,12.832598
19,-107.013474,-0.835281,-1866024.080335,-6098360.299364,-92357.426987,2.008009,11.143460
20,-107.013474,-0.835281,-1173988.928052,-6268783.253540,-68603.126923,2.008009,7.854731
21,-107.013474,-0.835281,-1576578.905407,-6107429.466335,-942522.591483,2.008009,4.534311
22,-110.880661,-8.769852,-2728173.070419,-5589280.054884,-1408644.283251,2.006523,4.534311
23,-113.419724,-1.050125,-2980474.885831,-5630948.337296,298698.119656,2.000551,4.534311
24,-109.581833,-2.872635,-2134982.579197,-6001748.870579,-317509.132649,1.998952,3.659934
25,-109.581833,-2.872635,-2369008.627767,-5919696.747981,159526.215477,1.998952,2.367519
26,-109.581833,-2.872635,-1968045.369331,-6066766.424252,-41979.657416,1.998952,2.367519
27,-110.696335,-0.714890,-2052250.589774,-6036253.658501,-179786.086140,1.998766,1.183760
28,-109.458237,-1.709953,-2123743.098532,-6011186.764682,-189049.345499,1.998752,1.042866
29,-110.325012,-0.382315,-2215365.322928,-5980885.298460,-42273.861695,1.998637,0.766337
